Student [name=张0, age=14, phone=13342004158, score=93]
Student [name=张1, age=9, phone=13330005629, score=22]
Student [name=张2, age=10, phone=13348007255, score=21]
Student [name=张3, age=9, phone=13317004330, score=29]
Student [name=张4, age=13, phone=13329008140, score=98]
Student [name=张5, age=18, phone=13352004510, score=93]
Student [name=张6, age=12, phone=13339005038, score=72]
Student [name=张7, age=9, phone=13349007059, score=26]
Student [name=张8, age=14, phone=13332003052, score=93]
Student [name=张9, age=18, phone=13349004845, score=19]
Student [name=张10, age=29, phone=13338005464, score=63]
Student [name=张11, age=14, phone=13325002269, score=67]
Student [name=张12, age=14, phone=13325006451, score=67]
Student [name=张13, age=29, phone=13310006015, score=70]
Student [name=张14, age=17, phone=13330003768, score=72]
Student [name=张15, age=16, phone=13332006845, score=61]
Student [name=张16, age=13, phone=13312005421, score=43]
Student [name=张17, age=16, phone=13347001735, score=27]
Student [name=张18, age=13, phone=13314001029, score=16]
Student [name=张19, age=21, phone=13353004240, score=4]
Student [name=张20, age=4, phone=13344005228, score=86]
Student [name=张21, age=4, phone=13358008527, score=94]
Student [name=张22, age=10, phone=13354002713, score=28]
Student [name=张23, age=24, phone=13314004565, score=85]
Student [name=张24, age=15, phone=13355006351, score=85]
Student [name=张25, age=23, phone=13329005820, score=28]
Student [name=张26, age=3, phone=13357007632, score=25]
Student [name=张27, age=10, phone=13353008752, score=84]
Student [name=张28, age=11, phone=13355003032, score=84]
Student [name=张29, age=13, phone=13334003613, score=74]
Student [name=张30, age=7, phone=13336006713, score=31]
Student [name=张31, age=18, phone=13326002664, score=13]
Student [name=张32, age=5, phone=13339008550, score=33]
Student [name=张33, age=10, phone=13331001121, score=70]
Student [name=张34, age=15, phone=13319007149, score=66]
Student [name=张35, age=28, phone=13357005850, score=84]
Student [name=张36, age=4, phone=13327008558, score=10]
Student [name=张37, age=11, phone=13338006324, score=35]
Student [name=张38, age=1, phone=13310006569, score=49]
Student [name=张39, age=14, phone=13337006531, score=51]
Student [name=张40, age=12, phone=13356005317, score=12]
Student [name=张41, age=11, phone=13357008460, score=47]
Student [name=张42, age=1, phone=13311007458, score=69]
Student [name=张43, age=29, phone=13323001121, score=14]
Student [name=张44, age=29, phone=13327005967, score=6]
Student [name=张45, age=2, phone=13346001847, score=19]
Student [name=张46, age=14, phone=13334004756, score=60]
Student [name=张47, age=28, phone=13335002351, score=27]
Student [name=张48, age=24, phone=13321003937, score=98]
Student [name=张49, age=26, phone=13335002929, score=32]
Student [name=张50, age=15, phone=13331003946, score=51]
Student [name=张51, age=2, phone=13345005164, score=0]
Student [name=张52, age=29, phone=13338002149, score=75]
Student [name=张53, age=22, phone=13353006960, score=48]
Student [name=张54, age=20, phone=13333006564, score=99]
Student [name=张55, age=15, phone=13327002315, score=24]
Student [name=张56, age=5, phone=13349004249, score=6]
Student [name=张57, age=21, phone=13345001416, score=82]
Student [name=张58, age=11, phone=13342007226, score=78]
Student [name=张59, age=3, phone=13354004820, score=27]
Student [name=张60, age=17, phone=13324007836, score=96]
Student [name=张61, age=21, phone=13340003232, score=60]
Student [name=张62, age=5, phone=13349004449, score=18]
Student [name=张63, age=21, phone=13358002354, score=28]
Student [name=张64, age=7, phone=13316005567, score=38]
Student [name=张65, age=3, phone=13319001963, score=74]
Student [name=张66, age=24, phone=13314005453, score=33]
Student [name=张67, age=3, phone=13329008236, score=85]
Student [name=张68, age=10, phone=13352005241, score=46]
Student [name=张69, age=29, phone=13311006351, score=86]
Student [name=张70, age=22, phone=13319003419, score=47]
Student [name=张71, age=22, phone=13324004326, score=56]
Student [name=张72, age=16, phone=13318008027, score=48]
Student [name=张73, age=29, phone=13326006434, score=54]
Student [name=张74, age=19, phone=13331002666, score=32]
Student [name=张75, age=20, phone=13349008659, score=3]
Student [name=张76, age=1, phone=13320008648, score=9]
Student [name=张77, age=12, phone=13312005647, score=50]
Student [name=张78, age=23, phone=13317005727, score=46]
Student [name=张79, age=22, phone=13347008334, score=61]
Student [name=张80, age=15, phone=13310004663, score=17]
Student [name=张81, age=23, phone=13347001268, score=19]
Student [name=张82, age=10, phone=13342005049, score=23]
Student [name=张83, age=25, phone=13334005418, score=4]
Student [name=张84, age=5, phone=13314006867, score=73]
Student [name=张85, age=0, phone=13323004568, score=45]
Student [name=张86, age=12, phone=13342001850, score=53]
Student [name=张87, age=20, phone=13312003761, score=43]
Student [name=张88, age=7, phone=13357008310, score=91]
Student [name=张89, age=24, phone=13353005961, score=53]
Student [name=张90, age=19, phone=13333003214, score=67]
Student [name=张91, age=10, phone=13343006136, score=4]
Student [name=张92, age=4, phone=13325003846, score=35]
Student [name=张93, age=0, phone=13322001162, score=45]
Student [name=张94, age=14, phone=13346001765, score=72]
Student [name=张95, age=3, phone=13336002869, score=0]
Student [name=张96, age=28, phone=13318004763, score=53]
Student [name=张97, age=0, phone=13347005363, score=9]
Student [name=张98, age=8, phone=13341001957, score=95]
Student [name=张99, age=22, phone=13344003853, score=27]
Student [name=张100, age=24, phone=13316006155, score=23]
Student [name=张101, age=5, phone=13337004136, score=94]
Student [name=张102, age=9, phone=13348005442, score=42]
Student [name=张103, age=17, phone=13320003219, score=18]
Student [name=张104, age=8, phone=13322006550, score=59]
Student [name=张105, age=16, phone=13333007010, score=61]
Student [name=张106, age=3, phone=13325007821, score=88]
Student [name=张107, age=22, phone=13353005918, score=58]
Student [name=张108, age=5, phone=13330006255, score=46]
Student [name=张109, age=5, phone=13327001126, score=25]
Student [name=张110, age=29, phone=13351007318, score=92]
Student [name=张111, age=9, phone=13351001031, score=28]
Student [name=张112, age=0, phone=13319001524, score=95]
Student [name=张113, age=6, phone=13330001212, score=54]
Student [name=张114, age=21, phone=13336008633, score=86]
Student [name=张115, age=0, phone=13325005541, score=98]
Student [name=张116, age=21, phone=13358004937, score=33]
Student [name=张117, age=22, phone=13319004712, score=45]
Student [name=张118, age=26, phone=13336006321, score=30]
Student [name=张119, age=14, phone=13348002969, score=48]
Student [name=张120, age=22, phone=13326001935, score=82]
Student [name=张121, age=10, phone=13333008057, score=28]
Student [name=张122, age=20, phone=13323006967, score=94]
Student [name=张123, age=9, phone=13321001456, score=6]
Student [name=张124, age=24, phone=13313004519, score=86]
Student [name=张125, age=11, phone=13326006123, score=52]
Student [name=张126, age=21, phone=13358003937, score=6]
Student [name=张127, age=6, phone=13328002845, score=5]
Student [name=张128, age=18, phone=13317003134, score=61]
Student [name=张129, age=19, phone=13337002063, score=29]
Student [name=张130, age=3, phone=13358002968, score=60]
Student [name=张131, age=16, phone=13344004847, score=45]
Student [name=张132, age=28, phone=13319008315, score=36]
Student [name=张133, age=8, phone=13322001341, score=45]
Student [name=张134, age=27, phone=13313005147, score=49]
Student [name=张135, age=0, phone=13320008023, score=74]
Student [name=张136, age=6, phone=13320006122, score=0]
Student [name=张137, age=3, phone=13350008824, score=10]
Student [name=张138, age=26, phone=13316008711, score=48]
Student [name=张139, age=22, phone=13344003736, score=22]
Student [name=张140, age=23, phone=13337008734, score=95]
Student [name=张141, age=24, phone=13333005025, score=54]
Student [name=张142, age=24, phone=13315005767, score=90]
Student [name=张143, age=23, phone=13324006313, score=28]
Student [name=张144, age=29, phone=13347001134, score=6]
Student [name=张145, age=10, phone=13330005940, score=66]
Student [name=张146, age=2, phone=13328005148, score=9]
Student [name=张147, age=10, phone=13352008415, score=8]
Student [name=张148, age=3, phone=13342007654, score=80]
Student [name=张149, age=18, phone=13324003022, score=62]
Student [name=张150, age=8, phone=13326004267, score=22]
Student [name=张151, age=2, phone=13350001658, score=21]
Student [name=张152, age=19, phone=13324001161, score=98]
Student [name=张153, age=13, phone=13340006459, score=61]
Student [name=张154, age=7, phone=13352008844, score=84]
Student [name=张155, age=22, phone=13345001964, score=90]
Student [name=张156, age=8, phone=13350005647, score=45]
Student [name=张157, age=8, phone=13329002059, score=36]
Student [name=张158, age=0, phone=13356006912, score=7]
Student [name=张159, age=13, phone=13318005525, score=36]
Student [name=张160, age=14, phone=13356002628, score=25]
Student [name=张161, age=19, phone=13323004521, score=94]
Student [name=张162, age=16, phone=13311001156, score=1]
Student [name=张163, age=27, phone=13346001330, score=34]
Student [name=张164, age=14, phone=13358003848, score=48]
Student [name=张165, age=0, phone=13343004355, score=76]
Student [name=张166, age=8, phone=13312007033, score=43]
Student [name=张167, age=17, phone=13348004830, score=9]
Student [name=张168, age=15, phone=13315003764, score=50]
Student [name=张169, age=24, phone=13344001150, score=87]
Student [name=张170, age=6, phone=13320008518, score=5]
Student [name=张171, age=27, phone=13327006362, score=15]
Student [name=张172, age=9, phone=13327005453, score=13]
Student [name=张173, age=27, phone=13311003628, score=15]
Student [name=张174, age=2, phone=13313003355, score=51]
Student [name=张175, age=21, phone=13339005124, score=59]
Student [name=张176, age=7, phone=13337007047, score=14]
Student [name=张177, age=12, phone=13351002551, score=67]
Student [name=张178, age=20, phone=13330002324, score=10]
